neighbourhood_cleansed,property_type,room_type,bed_type,price,cancellation_policy,host_response_rate_binned,predicted_quality
30,1,1,0,23.0,0,0,1
3,1,1,0,30.0,0,0,1
27,0,1,0,50.0,0,0,1
26,0,1,0,85.0,1,3,0
25,0,0,0,100.0,2,0,1
21,3,1,0,55.0,2,0,1
29,0,0,0,128.0,1,0,1
22,1,0,0,85.0,0,0,0
29,0,0,0,108.0,1,2,0
27,0,0,0,85.0,2,1,1
23,0,0,1,162.0,0,0,0
8,0,0,0,82.0,1,2,0
23,0,0,0,125.0,0,0,0
23,0,0,0,120.0,0,1,0
29,0,0,0,150.0,0,0,0
31,1,0,0,115.0,0,0,0
26,0,0,0,219.0,0,0,1
25,0,0,0,216.0,0,1,0
11,0,0,0,70.0,0,0,1
26,0,0,0,100.0,1,0,1
26,0,0,0,160.0,0,0,0
19,0,0,0,139.0,0,1,0
25,0,1,0,110.0,0,1,0
25,0,0,0,99.0,0,0,0
23,0,0,0,140.0,1,0,1
25,0,0,0,115.0,1,0,1
22,0,1,0,37.0,0,0,1
29,0,0,0,59.0,0,0,0
23,0,0,0,121.0,0,1,0
29,0,0,0,100.0,0,0,0
23,0,0,0,84.0,0,0,0
26,0,0,0,131.0,0,3,0
21,0,0,0,258.0,0,1,0
19,1,0,0,150.0,1,0,1
28,0,0,0,60.0,0,0,0
25,0,1,0,110.0,0,1,0
11,0,1,0,92.0,0,1,1
25,0,1,0,79.0,0,3,0
16,0,0,0,82.0,0,0,0
25,0,0,0,450.0,1,0,1
29,0,0,0,131.0,2,0,1
20,0,0,0,100.0,1,0,1
15,0,0,0,100.0,1,0,1
15,1,1,0,60.0,2,0,1
15,0,0,0,80.0,0,1,0
4,0,0,0,69.0,0,3,0
23,0,1,0,55.0,0,0,1
16,0,0,0,105.0,0,0,0
28,0,0,0,89.0,0,0,0
29,0,0,0,65.0,1,0,1
15,0,1,0,39.0,1,0,1
14,1,0,0,175.0,0,0,1
25,0,0,0,142.0,0,0,0
27,0,0,0,185.0,0,1,0
27,0,0,0,70.0,1,0,1
15,1,0,0,300.0,0,0,1
